 745 2288  6.59986000 54.88850000 14 
 745 2289  6.73975000 54.88600000 2 
 745 2290  6.87963000 54.88330000 8 
 745 2291  7.01950000 54.88050000 26 
 745 2296  7.71848000 54.86400000 2 
 745 2297  7.85820000 54.86020000 2 
 745 2298  7.99790000 54.85630000 4 
 745 2301  8.41682000 54.84350000 9 
 745 2314  -1.15898000 54.84420000 9 
 745 2332  1.35137000 54.93540000 2 
 745 2335  1.77073000 54.94550000 4 
 745 2338  2.19029000 54.95420000 7 
 745 2345  3.16984000 54.96890000 8 
 745 2346  3.30983000 54.97030000 13 
 745 2347  3.44983000 54.97160000 2 
 745 2354  4.42998000 54.97610000 13 
 745 2355  4.57002000 54.97610000 13 
 745 2357  4.85008000 54.97570000 1 
 745 2358  4.99011000 54.97520000 4 
 745 2359  5.13013000 54.97450000 13 
 745 2363  5.69017000 54.97030000 12 
 745 2364  5.83016000 54.96890000 5 
 745 2367  6.25006000 54.96360000 1 
 745 2372  6.94959000 54.95150000 18 
 745 2373  7.08944000 54.94860000 10 
 745 2380  8.06776000 54.92380000 21 
 745 2382  8.48664000 54.91070000 4 
 745 2383  8.62620000 54.90610000 2 
 745 2397  -0.23835000 54.95330000 6 
 745 2408  1.30333000 55.00370000 40 
 745 2409  1.44366000 55.00730000 1 
 745 2413  2.00521000 55.02010000 54 
 745 2415  2.28612000 55.02550000 6 
 745 2422  3.26978000 55.03940000 4 
 745 2423  3.41035000 55.04080000 5 
 745 2425  3.69152000 55.04300000 2 
 745 2431  4.53515000 55.04570000 6 
 745 2433  4.81637000 55.04520000 5 
 745 2434  4.95698000 55.04480000 24 
 745 2435  5.09758000 55.04420000 20 
 745 2436  5.23818000 55.04340000 3 
 745 2438  5.51936000 55.04140000 6 
 745 2440  5.80050000 55.03870000 7 
 745 2441  5.94106000 55.03710000 10 
 745 2446  6.64365000 55.02680000 34 
 745 2455  7.90712000 54.99790000 1 
 745 2456  8.04738000 54.99390000 2 
 745 2458  8.32782000 54.98540000 4 
 745 2460  8.60814000 54.97630000 1 
 745 2469  -1.14730000 54.98400000 40 
 745 2486  1.23315000 55.07130000 6 
 745 2487  1.37347000 55.07500000 122 
 745 2491  1.93498000 55.08810000 12 
 745 2502  3.48063000 55.11090000 31 
 745 2512  4.88668000 55.11450000 3 
 745 2514  5.16789000 55.11330000 1 
 745 2517  5.58966000 55.11030000 4 
 745 2519  5.87079000 55.10740000 18 
 745 2523  6.43292000 55.09980000 27 
 745 2527  6.99481000 55.08960000 9 
 745 2528  7.13523000 55.08660000 18 
 745 2530  7.41601000 55.08020000 14 
 745 2536  8.25775000 55.05720000 2 
 745 2547  -1.34585000 55.04420000 12 
 745 2548  -1.20563000 55.05090000 21 
 745 2549  -1.06535000 55.05740000 4 
 745 2565  1.18443000 55.13960000 3 
 745 2566  1.32532000 55.14330000 242 
 745 2569  1.74814000 55.15360000 5 
 745 2571  2.03013000 55.15960000 15 
