 745 1426  3.98548000 54.14080000 7660.81626694 
 745 1433  4.94592000 54.14110000 233.66346126 
 745 1434  5.08312000 54.14050000 23391.73259190 
 745 1435  5.22032000 54.13980000 4617.09644649 
 745 1436  5.35751000 54.13890000 30087.79631714 
 745 1444  6.45471000 54.12610000 9.05032953 
 745 1448  7.00299000 54.11590000 247.98537150 
 745 1449  7.14002000 54.11300000 6439.47028158 
 745 1450  7.27703000 54.10990000 73700.17182282 
 745 1452  7.55098000 54.10330000 31472.34111056 
 745 1453  7.68792000 54.09970000 26737.83434940 
 745 1454  7.82483000 54.09600000 1253.75673933 
 745 1455  7.96172000 54.09210000 0.00180000 
 745 1456  8.09859000 54.08810000 0.00560000 
 745 1458  8.37224000 54.07960000 1252.86625501 
 745 1459  8.50902000 54.07510000 9187.70869770 
 745 1464  -0.03988590 54.12580000 0.00010000 
 745 1470  0.78385600 54.15410000 481.31433312 
 745 1471  0.92125100 54.15830000 13329.32974851 
 745 1472  1.05867000 54.16230000 575.27769412 
 745 1475  1.47109000 54.17340000 61897.83208880 
 745 1476  1.60861000 54.17680000 1797.71083858 
 745 1477  1.74615000 54.18000000 115.12094590 
 745 1478  1.88372000 54.18310000 2983.33634077 
 745 1480  2.15890000 54.18870000 4760.56679430 
 745 1483  2.57181000 54.19600000 577.36806535 
 745 1484  2.70948000 54.19820000 5336.83169395 
 745 1486  2.98485000 54.20190000 105.15911335 
 745 1487  3.12255000 54.20360000 10857.94719802 
 745 1494  4.08672000 54.21080000 5547.73747274 
 745 1496  4.36224000 54.21140000 14.30894744 
 745 1498  4.63776000 54.21140000 2921.28308221 
 745 1499  4.77552000 54.21120000 10210.64516620 
 745 1502  5.18879000 54.20950000 4673.26922517 
 745 1503  5.32654000 54.20860000 587.53958534 
 745 1506  5.73973000 54.20510000 463.46174433 
 745 1514  6.84110000 54.18870000 1880.44294044 
 745 1519  7.52891000 54.17340000 5200.85572913 
 745 1541  0.71514400 54.22150000 0.00080000 
 745 1542  0.85252500 54.22580000 53.00121554 
 745 1543  0.98993400 54.22990000 0.01360000 
 745 1546  1.40232000 54.24120000 12759.40774736 
 745 1547  1.53983000 54.24470000 8322.35000059 
 745 1550  1.95249000 54.25410000 152.59268728 
 745 1556  2.77830000 54.26870000 2607.77229184 
 745 1562  3.60459000 54.27770000 6075.27985295 
 745 1563  3.74233000 54.27860000 2455.14450595 
 745 1566  4.15559000 54.28050000 5614.48152794 
 745 1567  4.29336000 54.28080000 6338.92678336 
 745 1568  4.43112000 54.28100000 6725.73402056 
 745 1569  4.56888000 54.28100000 5772.05293901 
 745 1571  4.84441000 54.28050000 584.64546963 
 745 1576  5.53315000 54.27660000 574.66564218 
 745 1585  6.77231000 54.25960000 1071.60363248 
 745 1586  6.90992000 54.25690000 8491.16401759 
 745 1588  7.18509000 54.25110000 19.09951144 
 745 1592  7.73517000 54.23760000 8910.99909216 
 745 1595  8.14748000 54.22580000 0.00060000 
 745 1611  0.66534500 54.28950000 2697.73265457 
 745 1612  0.80327300 54.29390000 5409.34698773 
 745 1613  0.94122900 54.29800000 0.00760000 
 745 1614  1.07921000 54.30200000 1275.90925448 
 745 1615  1.21722000 54.30590000 4578.78252837 
 745 1616  1.35526000 54.30950000 3589.66137198 
 745 1619  1.76950000 54.31960000 6751.79198052 
 745 1620  1.90763000 54.32270000 7217.54743071 
 745 1621  2.04577000 54.32560000 14782.77057542 
 745 1623  2.32212000 54.33090000 233.65177308 
 745 1637  4.25794000 54.35030000 905.56096905 
 745 1638  4.39626000 54.35050000 1870.55692011 
 745 1639  4.53458000 54.35050000 7443.58213107 
 745 1643  5.08786000 54.34910000 21977.88466005 
 745 1644  5.22617000 54.34830000 13627.47820858 
 745 1648  5.77934000 54.34370000 12851.49965000 
 745 1650  6.05587000 54.34050000 18506.98811229 
 745 1653  6.47058000 54.33440000 11908.94337138 
 745 1654  6.60879000 54.33210000 2157.64692123 
 745 1657  7.02330000 54.32410000 4600.94744608 
 745 1661  7.57572000 54.31130000 315.78430874 
 745 1665  8.12775000 54.29600000 7263.40607787 
 745 1666  8.26569000 54.29170000 25895.16092282 
 745 1682  0.73427900 54.36130000 1425.10332677 
 745 1683  0.87222200 54.36550000 19.62678610 
 745 1684  1.01019000 54.36960000 655.23835677 
 745 1689  1.70043000 54.38760000 66.67674590 
 745 1690  1.83854000 54.39070000 107.93414582 
 745 1691  1.97668000 54.39370000 7580.20985004 
 745 1693  2.25301000 54.39910000 10589.17349188 
 745 1701  3.35893000 54.41470000 2901.35082555 
 745 1703  3.63552000 54.41700000 1811.03689256 
 745 1706  4.05045000 54.41920000 3292.57676615 
 745 1707  4.18877000 54.41970000 15812.09544940 
 745 1708  4.32710000 54.41990000 9943.36620810 
 745 1709  4.46542000 54.42000000 4909.85358532 
 745 1711  4.74207000 54.41980000 26928.58189284 
 745 1713  5.01870000 54.41890000 1715.34911041 
 745 1714  5.15702000 54.41830000 307.00015188 
 745 1716  5.43363000 54.41640000 23636.59762701 
 745 1718  5.71021000 54.41400000 13734.86442248 
 745 1720  5.98676000 54.41090000 4205.94554024 
 745 1722  6.26326000 54.40720000 1032.54783625 
 745 1727  6.95425000 54.39510000 39178.22866855 
 745 1735  8.05880000 54.36760000 193.42742257 
 745 1736  8.19675000 54.36340000 4.77859253 
 745 1756  0.94117900 54.43710000 1566.70290578 
 745 1759  1.35521000 54.44860000 11601.47641224 
 745 1761  1.63135000 54.45550000 8769.48297025 
 745 1762  1.76946000 54.45870000 421.15973990 
 745 1763  1.90759000 54.46180000 199125.76060448 
 745 1778  3.98129000 54.48850000 1402.93971769 
 745 1779  4.11961000 54.48900000 6075.27985295 
